Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00, 0.00, -0.00
1, 0.36, 0.16, -0.26, 0.04, -0.29, 5.34, 3.25, -5.15, 0.84, -5.72
2, 0.89, 0.49, -0.77, 0.13, -0.86, 5.34, 3.25, -5.16, 0.84, -5.73
3, 1.42, 0.81, -1.29, 0.21, -1.43, 5.34, 3.25, -5.16, 0.84, -5.73
4, 1.96, 1.14, -1.80, 0.30, -2.01, 5.34, 3.25, -5.16, 0.84, -5.73
5, 2.49, 1.46, -2.32, 0.38, -2.58, 5.34, 3.25, -5.16, 0.84, -5.73
6, 3.03, 1.79, -2.84, 0.46, -3.15, 5.34, 3.25, -5.16, 0.84, -5.73
7, 3.56, 2.11, -3.35, 0.55, -3.72, 5.34, 3.25, -5.16, 0.84, -5.73
8, 4.10, 2.44, -3.87, 0.63, -4.30, 5.34, 3.25, -5.16, 0.84, -5.73
9, 4.63, 2.76, -4.38, 0.72, -4.87, 5.34, 3.25, -5.16, 0.84, -5.73
10, 5.16, 3.09, -4.90, 0.80, -5.44, 5.34, 3.25, -5.16, 0.84, -5.73
11, 5.70, 3.41, -5.41, 0.89, -6.02, 5.34, 3.25, -5.16, 0.84, -5.73
12, 6.23, 3.74, -5.93, 0.97, -6.59, 5.34, 3.25, -5.16, 0.84, -5.73
13, 6.77, 4.06, -6.44, 1.05, -7.16, 5.34, 3.25, -5.16, 0.84, -5.73
14, 7.30, 4.39, -6.96, 1.14, -7.73, 5.34, 3.25, -5.16, 0.84, -5.73
15, 7.84, 4.71, -7.47, 1.22, -8.31, 5.34, 3.25, -5.16, 0.84, -5.73
16, 8.37, 5.04, -7.99, 1.31, -8.88, 5.34, 3.25, -5.16, 0.84, -5.73
17, 8.91, 5.36, -8.51, 1.39, -9.45, 5.34, 3.25, -5.16, 0.84, -5.73
18, 9.44, 5.69, -9.02, 1.48, -10.03, 5.34, 3.25, -5.16, 0.84, -5.73
19, 9.97, 6.02, -9.54, 1.56, -10.60, 5.34, 3.25, -5.16, 0.84, -5.73
20, 10.51, 6.34, -10.05, 1.65, -11.17, 5.34, 3.25, -5.16, 0.84, -5.73
21, 11.04, 6.67, -10.57, 1.73, -11.75, 5.34, 3.25, -5.16, 0.84, -5.73
22, 11.58, 6.99, -11.08, 1.81, -12.32, 5.34, 3.25, -5.16, 0.84, -5.73
23, 12.11, 7.32, -11.60, 1.90, -12.89, 5.34, 3.25, -5.16, 0.84, -5.73
