Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, -0.18, 0.00, 0.00, 0.00, 0.00, -0.00, -0.00, -0.00, -0.00, 0.00
1, -0.45, -0.10, -0.16, -0.29, 0.24, -5.47, -1.99, -3.21, -5.72, 4.88
2, -1.00, -0.30, -0.48, -0.86, 0.73, -5.47, -2.00, -3.22, -5.73, 4.88
3, -1.54, -0.50, -0.80, -1.43, 1.22, -5.47, -2.00, -3.22, -5.73, 4.88
4, -2.09, -0.70, -1.13, -2.01, 1.71, -5.47, -2.00, -3.22, -5.73, 4.88
5, -2.64, -0.90, -1.45, -2.58, 2.20, -5.47, -2.00, -3.22, -5.73, 4.88
6, -3.19, -1.10, -1.77, -3.15, 2.69, -5.47, -2.00, -3.22, -5.73, 4.88
7, -3.73, -1.30, -2.09, -3.72, 3.17, -5.47, -2.00, -3.22, -5.73, 4.88
8, -4.28, -1.50, -2.41, -4.30, 3.66, -5.47, -2.00, -3.22, -5.73, 4.88
9, -4.83, -1.70, -2.73, -4.87, 4.15, -5.47, -2.00, -3.22, -5.73, 4.88
10, -5.38, -1.90, -3.05, -5.44, 4.64, -5.47, -2.00, -3.22, -5.73, 4.88
11, -5.92, -2.10, -3.38, -6.02, 5.13, -5.47, -2.00, -3.22, -5.73, 4.88
12, -6.47, -2.30, -3.70, -6.59, 5.62, -5.47, -2.00, -3.22, -5.73, 4.88
13, -7.02, -2.50, -4.02, -7.16, 6.11, -5.47, -2.00, -3.22, -5.73, 4.88
14, -7.57, -2.70, -4.34, -7.73, 6.59, -5.47, -2.00, -3.22, -5.73, 4.88
15, -8.11, -2.90, -4.66, -8.31, 7.08, -5.47, -2.00, -3.22, -5.73, 4.88
16, -8.66, -3.10, -4.98, -8.88, 7.57, -5.47, -2.00, -3.22, -5.73, 4.88
17, -9.21, -3.29, -5.31, -9.45, 8.06, -5.47, -2.00, -3.22, -5.73, 4.88
18, -9.76, -3.49, -5.63, -10.03, 8.55, -5.47, -2.00, -3.22, -5.73, 4.88
19, -10.30, -3.69, -5.95, -10.60, 9.04, -5.47, -2.00, -3.22, -5.73, 4.88
20, -10.85, -3.89, -6.27, -11.17, 9.52, -5.47, -2.00, -3.22, -5.73, 4.88
21, -11.40, -4.09, -6.59, -11.75, 10.01, -5.47, -2.00, -3.22, -5.73, 4.88
22, -11.95, -4.29, -6.91, -12.32, 10.50, -5.47, -2.00, -3.22, -5.73, 4.88
23, -12.49, -4.49, -7.24, -12.89, 10.99, -5.47, -2.00, -3.22, -5.73, 4.88
24, -13.04, -4.69, -7.56, -13.46, 11.48, -5.47, -2.00, -3.22, -5.73, 4.88
25, -13.59, -4.89, -7.88, -14.04, 11.97, -5.47, -2.00, -3.22, -5.73, 4.88
26, -14.14, -5.09, -8.20, -14.61, 12.45, -5.47, -2.00, -3.22, -5.73, 4.88
27, -14.68, -5.29, -8.52, -15.18, 12.94, -5.47, -2.00, -3.22, -5.73, 4.88
28, -15.23, -5.49, -8.84, -15.76, 13.43, -5.47, -2.00, -3.22, -5.73, 4.88
29, -15.78, -5.69, -9.16, -16.33, 13.92, -5.47, -2.00, -3.22, -5.73, 4.88
30, -16.33, -5.89, -9.49, -16.90, 14.41, -5.47, -2.00, -3.22, -5.73, 4.88
31, -16.87, -6.09, -9.81, -17.48, 14.90, -5.47, -2.00, -3.22, -5.73, 4.88
32, -17.42, -6.29, -10.13, -18.05, 15.39, -5.47, -2.00, -3.22, -5.73, 4.88
33, -17.97, -6.49, -10.45, -18.62, 15.87, -5.47, -2.00, -3.22, -5.73, 4.88
34, -18.52, -6.69, -10.77, -19.19, 16.36, -5.47, -2.00, -3.22, -5.73, 4.88
35, -19.06, -6.89, -11.09, -19.77, 16.85, -5.47, -2.00, -3.22, -5.73, 4.88
36, -19.61, -7.09, -11.42, -20.34, 17.34, -5.47, -2.00, -3.22, -5.73, 4.88
37, -20.16, -7.29, -11.74, -20.91, 17.83, -5.47, -2.00, -3.22, -5.73, 4.88
38, -20.71, -7.49, -12.06, -21.49, 18.32, -5.47, -2.00, -3.22, -5.73, 4.88
39, -21.25, -7.69, -12.38, -22.06, 18.80, -5.47, -2.00, -3.22, -5.73, 4.88
40, -21.80, -7.89, -12.70, -22.63, 19.29, -5.47, -2.00, -3.22, -5.73, 4.88
41, -22.35, -8.09, -13.02, -23.20, 19.78, -5.47, -2.00, -3.22, -5.73, 4.88
42, -22.90, -8.29, -13.34, -23.78, 20.27, -5.47, -2.00, -3.22, -5.73, 4.88
43, -23.44, -8.49, -13.67, -24.35, 20.76, -5.47, -2.00, -3.22, -5.73, 4.88
44, -23.99, -8.69, -13.99, -24.92, 21.25, -5.47, -2.00, -3.22, -5.73, 4.88
45, -24.54, -8.89, -14.31, -25.50, 21.73, -5.47, -2.00, -3.22, -5.73, 4.88
46, -25.09, -9.09, -14.63, -26.07, 22.22, -5.47, -2.00, -3.22, -5.73, 4.88
47, -25.63, -9.29, -14.95, -26.64, 22.71, -5.47, -2.00, -3.22, -5.73, 4.88
48, -26.18, -9.49, -15.27, -27.22, 23.20, -5.47, -2.00, -3.22, -5.73, 4.88
49, -26.73, -9.69, -15.60, -27.79, 23.69, -5.47, -2.00, -3.22, -5.73, 4.88
50, -27.28, -9.88, -15.92, -28.36, 24.18, -5.47, -2.00, -3.22, -5.73, 4.88
51, -27.82, -10.08, -16.24, -28.93, 24.67, -5.47, -2.00, -3.22, -5.73, 4.88
52, -28.37, -10.28, -16.56, -29.51, 25.15, -5.47, -2.00, -3.22, -5.73, 4.88
53, -28.92, -10.48, -16.88, -30.08, 25.64, -5.47, -2.00, -3.22, -5.73, 4.88
54, -29.47, -10.68, -17.20, -30.65, 26.13, -5.47, -2.00, -3.22, -5.73, 4.88
55, -30.01, -10.88, -17.52, -31.23, 26.62, -5.47, -2.00, -3.22, -5.73, 4.88
56, -30.56, -11.08, -17.85, -31.80, 27.11, -5.47, -2.00, -3.22, -5.73, 4.88
57, -31.11, -11.28, -18.17, -32.37, 27.60, -5.47, -2.00, -3.22, -5.73, 4.88
58, -31.66, -11.48, -18.49, -32.95, 28.08, -5.47, -2.00, -3.22, -5.73, 4.88
59, -32.20, -11.68, -18.81, -33.52, 28.57, -5.47, -2.00, -3.22, -5.73, 4.88
60, -32.75, -11.88, -19.13, -34.09, 29.06, -5.47, -2.00, -3.22, -5.73, 4.88
61, -33.30, -12.08, -19.45, -34.66, 29.55, -5.47, -2.00, -3.22, -5.73, 4.88
62, -33.85, -12.28, -19.78, -35.24, 30.04, -5.47, -2.00, -3.22, -5.73, 4.88
63, -34.39, -12.48, -20.10, -35.81, 30.53, -5.47, -2.00, -3.22, -5.73, 4.88
64, -34.94, -12.68, -20.42, -36.38, 31.01, -5.47, -2.00, -3.22, -5.73, 4.88
65, -35.49, -12.88, -20.74, -36.96, 31.50, -5.47, -2.00, -3.22, -5.73, 4.88
66, -36.04, -13.08, -21.06, -37.53, 31.99, -5.47, -2.00, -3.22, -5.73, 4.88
67, -36.58, -13.28, -21.38, -38.10, 32.48, -5.47, -2.00, -3.22, -5.73, 4.88
68, -37.13, -13.48, -21.71, -38.67, 32.97, -5.47, -2.00, -3.22, -5.73, 4.88
69, -37.68, -13.68, -22.03, -39.25, 33.46, -5.47, -2.00, -3.22, -5.73, 4.88
70, -38.23, -13.88, -22.35, -39.82, 33.95, -5.47, -2.00, -3.22, -5.73, 4.88
71, -38.77, -14.08, -22.67, -40.39, 34.43, -5.47, -2.00, -3.22, -5.73, 4.88
72, -39.32, -14.28, -22.99, -40.97, 34.92, -5.47, -2.00, -3.22, -5.73, 4.88
73, -39.87, -14.48, -23.31, -41.54, 35.41, -5.47, -2.00, -3.22, -5.73, 4.88
74, -40.42, -14.68, -23.63, -42.11, 35.90, -5.47, -2.00, -3.22, -5.73, 4.88
75, -40.96, -14.88, -23.96, -42.69, 36.39, -5.47, -2.00, -3.22, -5.73, 4.88
76, -41.51, -15.08, -24.28, -43.26, 36.88, -5.47, -2.00, -3.22, -5.73, 4.88
77, -42.06, -15.28, -24.60, -43.83, 37.36, -5.47, -2.00, -3.22, -5.73, 4.88
78, -42.61, -15.48, -24.92, -44.40, 37.85, -5.47, -2.00, -3.22, -5.73, 4.88
79, -43.15, -15.68, -25.24, -44.98, 38.34, -5.47, -2.00, -3.22, -5.73, 4.88
80, -43.70, -15.88, -25.56, -45.55, 38.83, -5.47, -2.00, -3.22, -5.73, 4.88
81, -44.25, -16.08, -25.89, -46.12, 39.32, -5.47, -2.00, -3.22, -5.73, 4.88
82, -44.80, -16.28, -26.21, -46.70, 39.81, -5.47, -2.00, -3.22, -5.73, 4.88
83, -45.34, -16.47, -26.53, -47.27, 40.29, -5.47, -2.00, -3.22, -5.73, 4.88
84, -45.89, -16.67, -26.85, -47.84, 40.78, -5.47, -2.00, -3.22, -5.73, 4.88
85, -46.44, -16.87, -27.17, -48.41, 41.27, -5.47, -2.00, -3.22, -5.73, 4.88
86, -46.99, -17.07, -27.49, -48.99, 41.76, -5.47, -2.00, -3.22, -5.73, 4.88
87, -47.53, -17.27, -27.81, -49.56, 42.25, -5.47, -2.00, -3.22, -5.73, 4.88
88, -48.08, -17.47, -28.14, -50.13, 42.74, -5.47, -2.00, -3.22, -5.73, 4.88
89, -48.63, -17.67, -28.46, -50.71, 43.23, -5.47, -2.00, -3.22, -5.73, 4.88
90, -49.18, -17.87, -28.78, -51.28, 43.71, -5.47, -2.00, -3.22, -5.73, 4.88
91, -49.72, -18.07, -29.10, -51.85, 44.20, -5.47, -2.00, -3.22, -5.73, 4.88
92, -50.27, -18.27, -29.42, -52.43, 44.69, -5.47, -2.00, -3.22, -5.73, 4.88
93, -50.82, -18.47, -29.74, -53.00, 45.18, -5.47, -2.00, -3.22, -5.73, 4.88
94, -51.37, -18.67, -30.07, -53.57, 45.67, -5.47, -2.00, -3.22, -5.73, 4.88
95, -51.91, -18.87, -30.39, -54.14, 46.16, -5.47, -2.00, -3.22, -5.73, 4.88
96, -52.46, -19.07, -30.71, -54.72, 46.64, -5.47, -2.00, -3.22, -5.73, 4.88
97, -53.01, -19.27, -31.03, -55.29, 47.13, -5.47, -2.00, -3.22, -5.73, 4.88
98, -53.56, -19.47, -31.35, -55.86, 47.62, -5.47, -2.00, -3.22, -5.73, 4.88
99, -54.10, -19.67, -31.67, -56.44, 48.11, -5.47, -2.00, -3.22, -5.73, 4.88
100, -54.65, -19.87, -31.99, -57.01, 48.60, -5.47, -2.00, -3.22, -5.73, 4.88
101, -55.20, -20.07, -32.32, -57.58, 49.09, -5.47, -2.00, -3.22, -5.73, 4.88
102, -55.75, -20.27, -32.64, -58.16, 49.57, -5.47, -2.00, -3.22, -5.73, 4.88
103, -56.29, -20.47, -32.96, -58.73, 50.06, -5.47, -2.00, -3.22, -5.73, 4.88
104, -56.84, -20.67, -33.28, -59.30, 50.55, -5.47, -2.00, -3.22, -5.73, 4.88
105, -57.39, -20.87, -33.60, -59.87, 51.04, -5.47, -2.00, -3.22, -5.73, 4.88
106, -57.94, -21.07, -33.92, -60.45, 51.53, -5.47, -2.00, -3.22, -5.73, 4.88
107, -58.48, -21.27, -34.25, -61.02, 52.02, -5.47, -2.00, -3.22, -5.73, 4.88
108, -59.03, -21.47, -34.57, -61.59, 52.51, -5.47, -2.00, -3.22, -5.73, 4.88
109, -59.58, -21.67, -34.89, -62.17, 52.99, -5.47, -2.00, -3.22, -5.73, 4.88
110, -60.13, -21.87, -35.21, -62.74, 53.48, -5.47, -2.00, -3.22, -5.73, 4.88
111, -60.67, -22.07, -35.53, -63.31, 53.97, -5.47, -2.00, -3.22, -5.73, 4.88
112, -61.22, -22.27, -35.85, -63.88, 54.46, -5.47, -2.00, -3.22, -5.73, 4.88
113, -61.77, -22.47, -36.18, -64.46, 54.95, -5.47, -2.00, -3.22, -5.73, 4.88
