Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,60.20,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,-0.00
1,59.92,-0.17,-0.02,-0.16,-0.02,-5.72,-3.32,-0.35,-3.24,-0.36
2,59.35,-0.50,-0.05,-0.49,-0.05,-5.73,-3.33,-0.35,-3.25,-0.36
3,58.77,-0.83,-0.09,-0.81,-0.09,-5.73,-3.33,-0.35,-3.25,-0.36
4,58.20,-1.16,-0.12,-1.14,-0.13,-5.73,-3.33,-0.35,-3.25,-0.36
5,57.63,-1.50,-0.16,-1.46,-0.16,-5.73,-3.33,-0.35,-3.25,-0.36
6,57.05,-1.83,-0.19,-1.79,-0.20,-5.73,-3.33,-0.35,-3.25,-0.36
7,56.48,-2.16,-0.23,-2.11,-0.23,-5.73,-3.33,-0.35,-3.25,-0.36
8,55.91,-2.50,-0.26,-2.44,-0.27,-5.73,-3.33,-0.35,-3.25,-0.36
9,55.33,-2.83,-0.30,-2.76,-0.30,-5.73,-3.33,-0.35,-3.25,-0.36
10,54.76,-3.16,-0.33,-3.09,-0.34,-5.73,-3.33,-0.35,-3.25,-0.36
11,54.19,-3.49,-0.37,-3.42,-0.38,-5.73,-3.33,-0.35,-3.25,-0.36
12,53.62,-3.83,-0.40,-3.74,-0.41,-5.73,-3.33,-0.35,-3.25,-0.36
13,53.04,-4.16,-0.44,-4.07,-0.45,-5.73,-3.33,-0.35,-3.25,-0.36
14,52.47,-4.49,-0.47,-4.39,-0.48,-5.73,-3.33,-0.35,-3.25,-0.36
15,51.90,-4.82,-0.51,-4.72,-0.52,-5.73,-3.33,-0.35,-3.25,-0.36
16,51.32,-5.16,-0.54,-5.04,-0.56,-5.73,-3.33,-0.35,-3.25,-0.36
17,50.75,-5.49,-0.58,-5.37,-0.59,-5.73,-3.33,-0.35,-3.25,-0.36
18,50.18,-5.82,-0.61,-5.69,-0.63,-5.73,-3.33,-0.35,-3.25,-0.36
19,49.61,-6.15,-0.65,-6.02,-0.66,-5.73,-3.33,-0.35,-3.25,-0.36
20,49.03,-6.49,-0.68,-6.34,-0.70,-5.73,-3.33,-0.35,-3.25,-0.36
