Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,-64.16,-72.21,-7.60,-70.60,-7.78,-0.00,-0.00,0.00,0.00,0.00
1,-64.45,-72.23,-7.59,-70.44,-7.75,-5.72,-0.47,0.29,3.24,0.67
2,-65.02,-72.28,-7.56,-70.11,-7.68,-5.73,-0.47,0.29,3.25,0.67
3,-65.59,-72.32,-7.53,-69.79,-7.62,-5.73,-0.47,0.29,3.25,0.67
4,-66.17,-72.37,-7.50,-69.46,-7.55,-5.73,-0.47,0.29,3.25,0.67
5,-66.74,-72.42,-7.47,-69.14,-7.48,-5.73,-0.47,0.29,3.25,0.67
6,-67.31,-72.46,-7.44,-68.81,-7.42,-5.73,-0.47,0.29,3.25,0.67
7,-67.88,-72.51,-7.41,-68.49,-7.35,-5.73,-0.47,0.29,3.25,0.67
8,-68.46,-72.56,-7.38,-68.16,-7.28,-5.73,-0.47,0.29,3.25,0.67
9,-69.03,-72.60,-7.35,-67.84,-7.21,-5.73,-0.47,0.29,3.25,0.67
10,-69.60,-72.65,-7.33,-67.51,-7.15,-5.73,-0.47,0.29,3.25,0.67
11,-70.18,-72.70,-7.30,-67.19,-7.08,-5.73,-0.47,0.29,3.25,0.67
12,-70.75,-72.74,-7.27,-66.86,-7.01,-5.73,-0.47,0.29,3.25,0.67
13,-71.32,-72.79,-7.24,-66.54,-6.95,-5.73,-0.47,0.29,3.25,0.67
14,-71.89,-72.84,-7.21,-66.21,-6.88,-5.73,-0.47,0.29,3.25,0.67
15,-72.47,-72.89,-7.18,-65.89,-6.81,-5.73,-0.47,0.29,3.25,0.67
16,-73.04,-72.93,-7.15,-65.56,-6.74,-5.73,-0.47,0.29,3.25,0.67
17,-73.61,-72.98,-7.12,-65.24,-6.68,-5.73,-0.47,0.29,3.25,0.67
18,-74.19,-73.03,-7.09,-64.91,-6.61,-5.73,-0.47,0.29,3.25,0.67
19,-74.76,-73.07,-7.06,-64.59,-6.54,-5.73,-0.47,0.29,3.25,0.67
20,-75.33,-73.12,-7.03,-64.26,-6.48,-5.73,-0.47,0.29,3.25,0.67
21,-75.91,-73.17,-7.00,-63.94,-6.41,-5.73,-0.47,0.29,3.25,0.67
22,-76.48,-73.21,-6.97,-63.61,-6.34,-5.73,-0.47,0.29,3.25,0.67
23,-77.05,-73.26,-6.95,-63.29,-6.28,-5.73,-0.47,0.29,3.25,0.67
24,-77.62,-73.31,-6.92,-62.96,-6.21,-5.73,-0.47,0.29,3.25,0.67
25,-78.20,-73.35,-6.89,-62.64,-6.14,-5.73,-0.47,0.29,3.25,0.67
26,-78.77,-73.40,-6.86,-62.31,-6.07,-5.73,-0.47,0.29,3.25,0.67
27,-79.34,-73.45,-6.83,-61.99,-6.01,-5.73,-0.47,0.29,3.25,0.67
28,-79.92,-73.49,-6.80,-61.66,-5.94,-5.73,-0.47,0.29,3.25,0.67
29,-80.49,-73.54,-6.77,-61.34,-5.87,-5.73,-0.47,0.29,3.25,0.67
30,-81.06,-73.59,-6.74,-61.01,-5.81,-5.73,-0.47,0.29,3.25,0.67
31,-81.64,-73.63,-6.71,-60.69,-5.74,-5.73,-0.47,0.29,3.25,0.67
32,-82.21,-73.68,-6.68,-60.36,-5.67,-5.73,-0.47,0.29,3.25,0.67
33,-82.78,-73.73,-6.65,-60.04,-5.61,-5.73,-0.47,0.29,3.25,0.67
34,-83.35,-73.78,-6.62,-59.71,-5.54,-5.73,-0.47,0.29,3.25,0.67
35,-83.93,-73.82,-6.60,-59.39,-5.47,-5.73,-0.47,0.29,3.25,0.67
36,-84.50,-73.87,-6.57,-59.06,-5.40,-5.73,-0.47,0.29,3.25,0.67
37,-85.07,-73.92,-6.54,-58.74,-5.34,-5.73,-0.47,0.29,3.25,0.67
38,-85.65,-73.96,-6.51,-58.41,-5.27,-5.73,-0.47,0.29,3.25,0.67
39,-86.22,-74.01,-6.48,-58.09,-5.20,-5.73,-0.47,0.29,3.25,0.67
40,-86.79,-74.06,-6.45,-57.76,-5.14,-5.73,-0.47,0.29,3.25,0.67
41,-87.36,-74.10,-6.42,-57.44,-5.07,-5.73,-0.47,0.29,3.25,0.67
42,-87.94,-74.15,-6.39,-57.11,-5.00,-5.73,-0.47,0.29,3.25,0.67
43,-88.51,-74.20,-6.36,-56.79,-4.94,-5.73,-0.47,0.29,3.25,0.67
44,-89.08,-74.24,-6.33,-56.46,-4.87,-5.73,-0.47,0.29,3.25,0.67
45,-89.66,-74.29,-6.30,-56.14,-4.80,-5.73,-0.47,0.29,3.25,0.67
46,-90.23,-74.34,-6.27,-55.81,-4.73,-5.73,-0.47,0.29,3.25,0.67
47,-90.80,-74.38,-6.24,-55.49,-4.67,-5.73,-0.47,0.29,3.25,0.67
48,-91.38,-74.43,-6.22,-55.16,-4.60,-5.73,-0.47,0.29,3.25,0.67
49,-91.95,-74.48,-6.19,-54.84,-4.53,-5.73,-0.47,0.29,3.25,0.67
50,-92.52,-74.52,-6.16,-54.51,-4.47,-5.73,-0.47,0.29,3.25,0.67
51,-93.09,-74.57,-6.13,-54.19,-4.40,-5.73,-0.47,0.29,3.25,0.67
52,-93.67,-74.62,-6.10,-53.86,-4.33,-5.73,-0.47,0.29,3.25,0.67
53,-94.24,-74.66,-6.07,-53.54,-4.26,-5.73,-0.47,0.29,3.25,0.67
54,-94.81,-74.71,-6.04,-53.21,-4.20,-5.73,-0.47,0.29,3.25,0.67
55,-95.39,-74.76,-6.01,-52.89,-4.13,-5.73,-0.47,0.29,3.25,0.67
56,-95.96,-74.81,-5.98,-52.56,-4.06,-5.73,-0.47,0.29,3.25,0.67
57,-96.53,-74.85,-5.95,-52.24,-4.00,-5.73,-0.47,0.29,3.25,0.67
58,-97.11,-74.90,-5.92,-51.91,-3.93,-5.73,-0.47,0.29,3.25,0.67
59,-97.68,-74.95,-5.89,-51.59,-3.86,-5.73,-0.47,0.29,3.25,0.67
60,-98.25,-74.99,-5.86,-51.26,-3.80,-5.73,-0.47,0.29,3.25,0.67
