Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, -0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.00, -0.00
1, 0.20, 0.06, 0.13, -0.07, -0.11, 5.72, 1.25, 2.65, -1.44, -2.20
2, 0.77, 0.19, 0.40, -0.22, -0.33, 5.73, 1.25, 2.65, -1.44, -2.20
3, 1.34, 0.31, 0.66, -0.36, -0.55, 5.73, 1.25, 2.65, -1.44, -2.20
4, 1.92, 0.44, 0.93, -0.50, -0.77, 5.73, 1.25, 2.65, -1.44, -2.20
5, 2.49, 0.56, 1.19, -0.65, -0.99, 5.73, 1.25, 2.65, -1.44, -2.20
6, 3.06, 0.69, 1.46, -0.79, -1.21, 5.73, 1.25, 2.65, -1.44, -2.20
7, 3.64, 0.81, 1.72, -0.94, -1.43, 5.73, 1.25, 2.65, -1.44, -2.20
8, 4.21, 0.94, 1.99, -1.08, -1.65, 5.73, 1.25, 2.65, -1.44, -2.20
9, 4.78, 1.06, 2.25, -1.22, -1.87, 5.73, 1.25, 2.65, -1.44, -2.20
10, 5.36, 1.19, 2.52, -1.37, -2.09, 5.73, 1.25, 2.65, -1.44, -2.20
11, 5.93, 1.31, 2.78, -1.51, -2.31, 5.73, 1.25, 2.65, -1.44, -2.20
12, 6.50, 1.44, 3.05, -1.66, -2.53, 5.73, 1.25, 2.65, -1.44, -2.20
13, 7.07, 1.56, 3.31, -1.80, -2.75, 5.73, 1.25, 2.65, -1.44, -2.20
14, 7.65, 1.69, 3.57, -1.94, -2.97, 5.73, 1.25, 2.65, -1.44, -2.20
15, 8.22, 1.81, 3.84, -2.09, -3.19, 5.73, 1.25, 2.65, -1.44, -2.20
16, 8.79, 1.94, 4.10, -2.23, -3.41, 5.73, 1.25, 2.65, -1.44, -2.20
17, 9.37, 2.06, 4.37, -2.38, -3.63, 5.73, 1.25, 2.65, -1.44, -2.20
18, 9.94, 2.19, 4.63, -2.52, -3.85, 5.73, 1.25, 2.65, -1.44, -2.20
19, 10.51, 2.31, 4.90, -2.66, -4.07, 5.73, 1.25, 2.65, -1.44, -2.20
20, 11.08, 2.44, 5.16, -2.81, -4.29, 5.73, 1.25, 2.65, -1.44, -2.20
21, 11.66, 2.56, 5.43, -2.95, -4.51, 5.73, 1.25, 2.65, -1.44, -2.20
22, 12.23, 2.69, 5.69, -3.10, -4.73, 5.73, 1.25, 2.65, -1.44, -2.20
23, 12.80, 2.81, 5.96, -3.24, -4.95, 5.73, 1.25, 2.65, -1.44, -2.20
24, 13.38, 2.94, 6.22, -3.38, -5.17, 5.73, 1.25, 2.65, -1.44, -2.20
25, 13.95, 3.06, 6.49, -3.53, -5.39, 5.73, 1.25, 2.65, -1.44, -2.20
26, 14.52, 3.19, 6.75, -3.67, -5.61, 5.73, 1.25, 2.65, -1.44, -2.20
27, 15.10, 3.31, 7.02, -3.82, -5.83, 5.73, 1.25, 2.65, -1.44, -2.20
28, 15.67, 3.44, 7.28, -3.96, -6.04, 5.73, 1.25, 2.65, -1.44, -2.20
29, 16.24, 3.56, 7.55, -4.10, -6.26, 5.73, 1.25, 2.65, -1.44, -2.20
30, 16.81, 3.69, 7.81, -4.25, -6.48, 5.73, 1.25, 2.65, -1.44, -2.20
31, 17.39, 3.81, 8.08, -4.39, -6.70, 5.73, 1.25, 2.65, -1.44, -2.20
32, 17.96, 3.94, 8.34, -4.54, -6.92, 5.73, 1.25, 2.65, -1.44, -2.20
33, 18.53, 4.06, 8.61, -4.68, -7.14, 5.73, 1.25, 2.65, -1.44, -2.20
34, 19.11, 4.19, 8.87, -4.82, -7.36, 5.73, 1.25, 2.65, -1.44, -2.20
35, 19.68, 4.31, 9.14, -4.97, -7.58, 5.73, 1.25, 2.65, -1.44, -2.20
36, 20.25, 4.44, 9.40, -5.11, -7.80, 5.73, 1.25, 2.65, -1.44, -2.20
37, 20.82, 4.56, 9.66, -5.26, -8.02, 5.73, 1.25, 2.65, -1.44, -2.20
38, 21.40, 4.69, 9.93, -5.40, -8.24, 5.73, 1.25, 2.65, -1.44, -2.20
39, 21.97, 4.81, 10.19, -5.54, -8.46, 5.73, 1.25, 2.65, -1.44, -2.20
40, 22.54, 4.94, 10.46, -5.69, -8.68, 5.73, 1.25, 2.65, -1.44, -2.20
41, 23.12, 5.06, 10.72, -5.83, -8.90, 5.73, 1.25, 2.65, -1.44, -2.20
42, 23.69, 5.19, 10.99, -5.98, -9.12, 5.73, 1.25, 2.65, -1.44, -2.20
43, 24.26, 5.31, 11.25, -6.12, -9.34, 5.73, 1.25, 2.65, -1.44, -2.20
44, 24.84, 5.44, 11.52, -6.26, -9.56, 5.73, 1.25, 2.65, -1.44, -2.20
45, 25.41, 5.56, 11.78, -6.41, -9.78, 5.73, 1.25, 2.65, -1.44, -2.20
46, 25.98, 5.69, 12.05, -6.55, -10.00, 5.73, 1.25, 2.65, -1.44, -2.20
47, 26.55, 5.81, 12.31, -6.70, -10.22, 5.73, 1.25, 2.65, -1.44, -2.20
48, 27.13, 5.94, 12.58, -6.84, -10.44, 5.73, 1.25, 2.65, -1.44, -2.20
49, 27.70, 6.06, 12.84, -6.98, -10.66, 5.73, 1.25, 2.65, -1.44, -2.20
50, 28.27, 6.19, 13.11, -7.13, -10.88, 5.73, 1.25, 2.65, -1.44, -2.20
51, 28.85, 6.31, 13.37, -7.27, -11.10, 5.73, 1.25, 2.65, -1.44, -2.20
52, 29.42, 6.44, 13.64, -7.42, -11.32, 5.73, 1.25, 2.65, -1.44, -2.20
53, 29.99, 6.56, 13.90, -7.56, -11.54, 5.73, 1.25, 2.65, -1.44, -2.20
54, 30.57, 6.69, 14.17, -7.70, -11.76, 5.73, 1.25, 2.65, -1.44, -2.20
55, 31.14, 6.81, 14.43, -7.85, -11.98, 5.73, 1.25, 2.65, -1.44, -2.20
56, 31.71, 6.94, 14.70, -7.99, -12.20, 5.73, 1.25, 2.65, -1.44, -2.20
57, 32.28, 7.06, 14.96, -8.13, -12.42, 5.73, 1.25, 2.65, -1.44, -2.20
58, 32.86, 7.19, 15.23, -8.28, -12.64, 5.73, 1.25, 2.65, -1.44, -2.20
59, 33.43, 7.31, 15.49, -8.42, -12.86, 5.73, 1.25, 2.65, -1.44, -2.20
60, 34.00, 7.44, 15.75, -8.57, -13.08, 5.73, 1.25, 2.65, -1.44, -2.20
61, 34.58, 7.56, 16.02, -8.71, -13.30, 5.73, 1.25, 2.65, -1.44, -2.20
62, 35.15, 7.69, 16.28, -8.85, -13.52, 5.73, 1.25, 2.65, -1.44, -2.20
63, 35.72, 7.81, 16.55, -9.00, -13.74, 5.73, 1.25, 2.65, -1.44, -2.20
64, 36.29, 7.94, 16.81, -9.14, -13.96, 5.73, 1.25, 2.65, -1.44, -2.20
65, 36.87, 8.06, 17.08, -9.29, -14.18, 5.73, 1.25, 2.65, -1.44, -2.20
66, 37.44, 8.19, 17.34, -9.43, -14.40, 5.73, 1.25, 2.65, -1.44, -2.20
67, 38.01, 8.31, 17.61, -9.57, -14.62, 5.73, 1.25, 2.65, -1.44, -2.20
68, 38.59, 8.44, 17.87, -9.72, -14.84, 5.73, 1.25, 2.65, -1.44, -2.20
69, 39.16, 8.56, 18.14, -9.86, -15.06, 5.73, 1.25, 2.65, -1.44, -2.20
70, 39.73, 8.69, 18.40, -10.01, -15.28, 5.73, 1.25, 2.65, -1.44, -2.20
71, 40.31, 8.81, 18.67, -10.15, -15.50, 5.73, 1.25, 2.65, -1.44, -2.20
72, 40.88, 8.94, 18.93, -10.29, -15.72, 5.73, 1.25, 2.65, -1.44, -2.20
73, 41.45, 9.06, 19.20, -10.44, -15.94, 5.73, 1.25, 2.65, -1.44, -2.20
74, 42.02, 9.19, 19.46, -10.58, -16.16, 5.73, 1.25, 2.65, -1.44, -2.20
75, 42.60, 9.31, 19.73, -10.73, -16.38, 5.73, 1.25, 2.65, -1.44, -2.20
76, 43.17, 9.44, 19.99, -10.87, -16.60, 5.73, 1.25, 2.65, -1.44, -2.20
77, 43.74, 9.56, 20.26, -11.01, -16.82, 5.73, 1.25, 2.65, -1.44, -2.20
78, 44.32, 9.69, 20.52, -11.16, -17.04, 5.73, 1.25, 2.65, -1.44, -2.20
79, 44.89, 9.81, 20.79, -11.30, -17.26, 5.73, 1.25, 2.65, -1.44, -2.20
80, 45.46, 9.94, 21.05, -11.45, -17.48, 5.73, 1.25, 2.65, -1.44, -2.20
81, 46.04, 10.06, 21.32, -11.59, -17.70, 5.73, 1.25, 2.65, -1.44, -2.20
82, 46.61, 10.19, 21.58, -11.73, -17.91, 5.73, 1.25, 2.65, -1.44, -2.20
83, 47.18, 10.31, 21.85, -11.88, -18.13, 5.73, 1.25, 2.65, -1.44, -2.20
84, 47.75, 10.44, 22.11, -12.02, -18.35, 5.73, 1.25, 2.65, -1.44, -2.20
85, 48.33, 10.56, 22.37, -12.17, -18.57, 5.73, 1.25, 2.65, -1.44, -2.20
86, 48.90, 10.69, 22.64, -12.31, -18.79, 5.73, 1.25, 2.65, -1.44, -2.20
87, 49.47, 10.81, 22.90, -12.45, -19.01, 5.73, 1.25, 2.65, -1.44, -2.20
88, 50.05, 10.94, 23.17, -12.60, -19.23, 5.73, 1.25, 2.65, -1.44, -2.20
89, 50.62, 11.06, 23.43, -12.74, -19.45, 5.73, 1.25, 2.65, -1.44, -2.20
90, 51.19, 11.19, 23.70, -12.89, -19.67, 5.73, 1.25, 2.65, -1.44, -2.20
91, 51.76, 11.31, 23.96, -13.03, -19.89, 5.73, 1.25, 2.65, -1.44, -2.20
92, 52.34, 11.44, 24.23, -13.17, -20.11, 5.73, 1.25, 2.65, -1.44, -2.20
93, 52.91, 11.56, 24.49, -13.32, -20.33, 5.73, 1.25, 2.65, -1.44, -2.20
94, 53.48, 11.69, 24.76, -13.46, -20.55, 5.73, 1.25, 2.65, -1.44, -2.20
95, 54.06, 11.81, 25.02, -13.61, -20.77, 5.73, 1.25, 2.65, -1.44, -2.20
96, 54.63, 11.94, 25.29, -13.75, -20.99, 5.73, 1.25, 2.65, -1.44, -2.20
97, 55.20, 12.06, 25.55, -13.89, -21.21, 5.73, 1.25, 2.65, -1.44, -2.20
98, 55.78, 12.19, 25.82, -14.04, -21.43, 5.73, 1.25, 2.65, -1.44, -2.20
99, 56.35, 12.31, 26.08, -14.18, -21.65, 5.73, 1.25, 2.65, -1.44, -2.20
100, 56.92, 12.44, 26.35, -14.33, -21.87, 5.73, 1.25, 2.65, -1.44, -2.20
101, 57.49, 12.56, 26.61, -14.47, -22.09, 5.73, 1.25, 2.65, -1.44, -2.20
102, 58.07, 12.69, 26.88, -14.61, -22.31, 5.73, 1.25, 2.65, -1.44, -2.20
103, 58.64, 12.81, 27.14, -14.76, -22.53, 5.73, 1.25, 2.65, -1.44, -2.20
104, 59.21, 12.94, 27.41, -14.90, -22.75, 5.73, 1.25, 2.65, -1.44, -2.20
105, 59.79, 13.06, 27.67, -15.05, -22.97, 5.73, 1.25, 2.65, -1.44, -2.20
