Index, Pos_J1, Pos_J2, Pos_J3, Pos_J4, Pos_J5, Vel_J1, Vel_J2, Vel_J3, Vel_J4, Vel_J5
0, 78.57, 47.76, -75.72, 12.39, -84.16, -0.00, -0.00, 0.00, -0.00, 0.00
1, 78.29, 47.74, -75.63, 12.37, -83.99, -5.72, -0.29, 1.82, -0.44, 3.40
2, 77.71, 47.72, -75.45, 12.33, -83.65, -5.73, -0.29, 1.82, -0.45, 3.41
3, 77.14, 47.69, -75.27, 12.28, -83.31, -5.73, -0.29, 1.82, -0.45, 3.41
4, 76.57, 47.66, -75.08, 12.24, -82.97, -5.73, -0.29, 1.82, -0.45, 3.41
5, 76.00, 47.63, -74.90, 12.19, -82.63, -5.73, -0.29, 1.82, -0.45, 3.41
6, 75.42, 47.60, -74.72, 12.15, -82.28, -5.73, -0.29, 1.82, -0.45, 3.41
7, 74.85, 47.57, -74.54, 12.10, -81.94, -5.73, -0.29, 1.82, -0.45, 3.41
8, 74.28, 47.54, -74.35, 12.06, -81.60, -5.73, -0.29, 1.82, -0.45, 3.41
9, 73.70, 47.52, -74.17, 12.02, -81.26, -5.73, -0.29, 1.82, -0.45, 3.41
10, 73.13, 47.49, -73.99, 11.97, -80.92, -5.73, -0.29, 1.82, -0.45, 3.41
11, 72.56, 47.46, -73.81, 11.93, -80.58, -5.73, -0.29, 1.82, -0.45, 3.41
12, 71.98, 47.43, -73.62, 11.88, -80.24, -5.73, -0.29, 1.82, -0.45, 3.41
13, 71.41, 47.40, -73.44, 11.84, -79.90, -5.73, -0.29, 1.82, -0.45, 3.41
14, 70.84, 47.37, -73.26, 11.79, -79.56, -5.73, -0.29, 1.82, -0.45, 3.41
15, 70.27, 47.34, -73.08, 11.75, -79.21, -5.73, -0.29, 1.82, -0.45, 3.41
16, 69.69, 47.31, -72.89, 11.70, -78.87, -5.73, -0.29, 1.82, -0.45, 3.41
17, 69.12, 47.29, -72.71, 11.66, -78.53, -5.73, -0.29, 1.82, -0.45, 3.41
18, 68.55, 47.26, -72.53, 11.61, -78.19, -5.73, -0.29, 1.82, -0.45, 3.41
19, 67.97, 47.23, -72.35, 11.57, -77.85, -5.73, -0.29, 1.82, -0.45, 3.41
20, 67.40, 47.20, -72.16, 11.53, -77.51, -5.73, -0.29, 1.82, -0.45, 3.41
21, 66.83, 47.17, -71.98, 11.48, -77.17, -5.73, -0.29, 1.82, -0.45, 3.41
22, 66.26, 47.14, -71.80, 11.44, -76.83, -5.73, -0.29, 1.82, -0.45, 3.41
23, 65.68, 47.11, -71.62, 11.39, -76.49, -5.73, -0.29, 1.82, -0.45, 3.41
24, 65.11, 47.09, -71.44, 11.35, -76.15, -5.73, -0.29, 1.82, -0.45, 3.41
25, 64.54, 47.06, -71.25, 11.30, -75.80, -5.73, -0.29, 1.82, -0.45, 3.41
26, 63.96, 47.03, -71.07, 11.26, -75.46, -5.73, -0.29, 1.82, -0.45, 3.41
