Index,J1,J2,J3,J4,J5,V1,V2,V3,V4,V5
0,-44.30,-0.63,-46.15,24.60,-81.34,0.00,-0.00,0.00,0.00,0.00
1,-44.01,-0.76,-46.11,24.65,-81.09,5.73,-2.64,0.96,1.13,5.04
2,-43.44,-1.03,-46.01,24.76,-80.59,5.73,-2.64,0.96,1.13,5.04
3,-42.86,-1.29,-45.91,24.88,-80.08,5.73,-2.64,0.96,1.13,5.04
4,-42.29,-1.55,-45.82,24.99,-79.58,5.73,-2.64,0.96,1.13,5.04
5,-41.72,-1.82,-45.72,25.10,-79.08,5.73,-2.64,0.96,1.13,5.04
6,-41.15,-2.08,-45.63,25.22,-78.57,5.73,-2.64,0.96,1.13,5.04
7,-40.57,-2.34,-45.53,25.33,-78.07,5.73,-2.64,0.96,1.13,5.04
8,-40.00,-2.61,-45.44,25.44,-77.56,5.73,-2.64,0.96,1.13,5.04
9,-39.43,-2.87,-45.34,25.55,-77.06,5.73,-2.64,0.96,1.13,5.04
10,-38.85,-3.13,-45.24,25.67,-76.56,5.73,-2.64,0.96,1.13,5.04
11,-38.28,-3.40,-45.15,25.78,-76.05,5.73,-2.64,0.96,1.13,5.04
12,-37.71,-3.66,-45.05,25.89,-75.55,5.73,-2.64,0.96,1.13,5.04
13,-37.14,-3.93,-44.96,26.01,-75.04,5.73,-2.64,0.96,1.13,5.04
14,-36.56,-4.19,-44.86,26.12,-74.54,5.73,-2.64,0.96,1.13,5.04
15,-35.99,-4.45,-44.77,26.23,-74.03,5.73,-2.64,0.96,1.13,5.04
16,-35.42,-4.72,-44.67,26.35,-73.53,5.73,-2.64,0.96,1.13,5.04
17,-34.84,-4.98,-44.57,26.46,-73.03,5.73,-2.64,0.96,1.13,5.04
18,-34.27,-5.24,-44.48,26.57,-72.52,5.73,-2.64,0.96,1.13,5.04
19,-33.70,-5.51,-44.38,26.68,-72.02,5.73,-2.64,0.96,1.13,5.04
20,-33.12,-5.77,-44.29,26.80,-71.51,5.73,-2.64,0.96,1.13,5.04
21,-32.55,-6.04,-44.19,26.91,-71.01,5.73,-2.64,0.96,1.13,5.04
22,-31.98,-6.30,-44.09,27.02,-70.51,5.73,-2.64,0.96,1.13,5.04
23,-31.41,-6.56,-44.00,27.14,-70.00,5.73,-2.64,0.96,1.13,5.04
24,-30.83,-6.83,-43.90,27.25,-69.50,5.73,-2.64,0.96,1.13,5.04
25,-30.26,-7.09,-43.81,27.36,-68.99,5.73,-2.64,0.96,1.13,5.04
26,-29.69,-7.35,-43.71,27.47,-68.49,5.73,-2.64,0.96,1.13,5.04
27,-29.11,-7.62,-43.62,27.59,-67.99,5.73,-2.64,0.96,1.13,5.04
28,-28.54,-7.88,-43.52,27.70,-67.48,5.73,-2.64,0.96,1.13,5.04
29,-27.97,-8.14,-43.42,27.81,-66.98,5.73,-2.64,0.96,1.13,5.04
30,-27.39,-8.41,-43.33,27.93,-66.47,5.73,-2.64,0.96,1.13,5.04
31,-26.82,-8.67,-43.23,28.04,-65.97,5.73,-2.64,0.96,1.13,5.04
32,-26.25,-8.94,-43.14,28.15,-65.47,5.73,-2.64,0.96,1.13,5.04
33,-25.68,-9.20,-43.04,28.26,-64.96,5.73,-2.64,0.96,1.13,5.04
34,-25.10,-9.46,-42.95,28.38,-64.46,5.73,-2.64,0.96,1.13,5.04
35,-24.53,-9.73,-42.85,28.49,-63.95,5.73,-2.64,0.96,1.13,5.04
